,index,Source airport,Source airport ID,Destination airport,Destination airport ID,Source iata,Source long,Source lat,Dest iata,Dest long,Dest lat
0,0,AER,2965,KZN,2990,AER,39.956600189209,43.449901580811,KZN,49.278701782227,55.606201171875
1,1,ASF,2966,KZN,2990,ASF,48.0063018799,46.2832984924,KZN,49.278701782227,55.606201171875
2,2,ASF,2966,MRV,2962,ASF,48.0063018799,46.2832984924,MRV,43.0819015502929,44.2251014709472
3,3,CEK,2968,KZN,2990,CEK,61.5033,55.305801,KZN,49.278701782227,55.606201171875
4,4,CEK,2968,OVB,4078,CEK,61.5033,55.305801,OVB,82.650703430176,55.012599945068
5,5,DME,4029,KZN,2990,DME,37.9062995910644,55.4087982177734,KZN,49.278701782227,55.606201171875
6,6,DME,4029,NBC,6969,DME,37.9062995910644,55.4087982177734,NBC,52.0924987792968,55.5647010803222
7,8,DME,4029,UUA,6160,DME,37.9062995910644,55.4087982177734,UUA,52.801700592041,54.6399993896484
8,9,EGO,6156,KGD,2952,EGO,36.5900993347168,50.643798828125,KGD,20.5925998687744,54.8899993896484
9,10,EGO,6156,KZN,2990,EGO,36.5900993347168,50.643798828125,KZN,49.278701782227,55.606201171875
10,11,GYD,2922,NBC,6969,GYD,50.0466995239257,40.4674987792968,NBC,52.0924987792968,55.5647010803222
11,12,KGD,2952,EGO,6156,KGD,20.5925998687744,54.8899993896484,EGO,36.5900993347168,50.643798828125
12,13,KZN,2990,AER,2965,KZN,49.278701782227,55.606201171875,AER,39.956600189209,43.449901580811
13,14,KZN,2990,ASF,2966,KZN,49.278701782227,55.606201171875,ASF,48.0063018799,46.2832984924
14,15,KZN,2990,CEK,2968,KZN,49.278701782227,55.606201171875,CEK,61.5033,55.305801
15,16,KZN,2990,DME,4029,KZN,49.278701782227,55.606201171875,DME,37.9062995910644,55.4087982177734
16,17,KZN,2990,EGO,6156,KZN,49.278701782227,55.606201171875,EGO,36.5900993347168,50.643798828125
17,18,KZN,2990,LED,2948,KZN,49.278701782227,55.606201171875,LED,30.2625007629394,59.8003005981445
18,19,KZN,2990,SVX,2975,KZN,49.278701782227,55.606201171875,SVX,60.802700042725,56.743099212646
19,20,LED,2948,KZN,2990,LED,30.2625007629394,59.8003005981445,KZN,49.278701782227,55.606201171875
20,21,LED,2948,NBC,6969,LED,30.2625007629394,59.8003005981445,NBC,52.0924987792968,55.5647010803222
21,22,LED,2948,UUA,6160,LED,30.2625007629394,59.8003005981445,UUA,52.801700592041,54.6399993896484
22,23,MRV,2962,ASF,2966,MRV,43.0819015502929,44.2251014709472,ASF,48.0063018799,46.2832984924
23,24,NBC,6969,DME,4029,NBC,52.0924987792968,55.5647010803222,DME,37.9062995910644,55.4087982177734
24,25,NBC,6969,GYD,2922,NBC,52.0924987792968,55.5647010803222,GYD,50.0466995239257,40.4674987792968
25,26,NBC,6969,LED,2948,NBC,52.0924987792968,55.5647010803222,LED,30.2625007629394,59.8003005981445
26,27,NBC,6969,SVX,2975,NBC,52.0924987792968,55.5647010803222,SVX,60.802700042725,56.743099212646
27,28,NJC,2972,SVX,2975,NJC,76.4835968017578,60.9492988586425,SVX,60.802700042725,56.743099212646
28,29,NJC,2972,UUA,6160,NJC,76.4835968017578,60.9492988586425,UUA,52.801700592041,54.6399993896484
29,30,NUX,4364,SVX,2975,NUX,76.5203018188476,66.0693969726562,SVX,60.802700042725,56.743099212646
30,31,OVB,4078,CEK,2968,OVB,82.650703430176,55.012599945068,CEK,61.5033,55.305801
31,32,OVB,4078,SVX,2975,OVB,82.650703430176,55.012599945068,SVX,60.802700042725,56.743099212646
32,33,SVX,2975,KZN,2990,SVX,60.802700042725,56.743099212646,KZN,49.278701782227,55.606201171875
33,34,SVX,2975,NBC,6969,SVX,60.802700042725,56.743099212646,NBC,52.0924987792968,55.5647010803222
34,35,SVX,2975,NJC,2972,SVX,60.802700042725,56.743099212646,NJC,76.4835968017578,60.9492988586425
35,36,SVX,2975,NUX,4364,SVX,60.802700042725,56.743099212646,NUX,76.5203018188476,66.0693969726562
36,37,SVX,2975,OVB,4078,SVX,60.802700042725,56.743099212646,OVB,82.650703430176,55.012599945068
37,39,UUA,6160,DME,4029,UUA,52.801700592041,54.6399993896484,DME,37.9062995910644,55.4087982177734
38,40,UUA,6160,LED,2948,UUA,52.801700592041,54.6399993896484,LED,30.2625007629394,59.8003005981445
39,41,UUA,6160,NJC,2972,UUA,52.801700592041,54.6399993896484,NJC,76.4835968017578,60.9492988586425
40,42,BTK,2936,IKT,2937,BTK,101.697998046875,56.3706016540527,IKT,104.38899993896,52.268001556396
41,43,BTK,2936,OVB,4078,BTK,101.697998046875,56.3706016540527,OVB,82.650703430176,55.012599945068
42,45,HTA,2935,IKT,2937,HTA,113.306,52.026299,IKT,104.38899993896,52.268001556396
43,46,IKT,2937,BTK,2936,IKT,104.38899993896,52.268001556396,BTK,101.697998046875,56.3706016540527
44,47,IKT,2937,HTA,2935,IKT,104.38899993896,52.268001556396,HTA,113.306,52.026299
45,50,IKT,2937,OVB,4078,IKT,104.38899993896,52.268001556396,OVB,82.650703430176,55.012599945068
46,51,IKT,2937,UKX,6924,IKT,104.38899993896,52.268001556396,UKX,105.730003356933,56.8567008972168
47,52,IKT,2937,ULK,9026,IKT,104.38899993896,52.268001556396,ULK,114.825996399,60.7206001282
48,53,IKT,2937,YKS,2923,IKT,104.38899993896,52.268001556396,YKS,129.77099609375,62.0932998657226
49,55,MJZ,2925,OVB,4078,MJZ,114.039001464843,62.5346984863281,OVB,82.650703430176,55.012599945068
50,57,OVB,4078,BTK,2936,OVB,82.650703430176,55.012599945068,BTK,101.697998046875,56.3706016540527
51,59,OVB,4078,IKT,2937,OVB,82.650703430176,55.012599945068,IKT,104.38899993896,52.268001556396
52,60,UKX,6924,IKT,2937,UKX,105.730003356933,56.8567008972168,IKT,104.38899993896,52.268001556396
53,61,ULK,9026,IKT,2937,ULK,114.825996399,60.7206001282,IKT,104.38899993896,52.268001556396
54,62,YKS,2923,IKT,2937,YKS,129.77099609375,62.0932998657226,IKT,104.38899993896,52.268001556396
55,63,AYP,2786,LIM,2789,AYP,-74.2043991088867,-13.154800415039,LIM,-77.114304,-12.0219
56,64,CUZ,2812,LIM,2789,CUZ,-71.9387969971,-13.5356998444,LIM,-77.114304,-12.0219
57,65,CUZ,2812,PEM,2808,CUZ,-71.9387969971,-13.5356998444,PEM,-69.2285995483,-12.6135997772
58,66,HUU,6067,LIM,2789,HUU,-76.2048034667968,-9.87880992889404,LIM,-77.114304,-12.0219
59,67,IQT,2801,PCL,2781,IQT,-73.3087997436523,-3.78473997116088,PCL,-74.5743026733398,-8.37794017791748
60,68,IQT,2801,TPP,2806,IQT,-73.3087997436523,-3.78473997116088,TPP,-76.3731994628906,-6.5087399482727
61,69,LIM,2789,AYP,2786,LIM,-77.114304,-12.0219,AYP,-74.2043991088867,-13.154800415039
62,70,LIM,2789,CUZ,2812,LIM,-77.114304,-12.0219,CUZ,-71.9387969971,-13.5356998444
63,71,LIM,2789,HUU,6067,LIM,-77.114304,-12.0219,HUU,-76.2048034667968,-9.87880992889404
64,72,LIM,2789,PCL,2781,LIM,-77.114304,-12.0219,PCL,-74.5743026733398,-8.37794017791748
65,73,LIM,2789,TPP,2806,LIM,-77.114304,-12.0219,TPP,-76.3731994628906,-6.5087399482727
66,74,PCL,2781,IQT,2801,PCL,-74.5743026733398,-8.37794017791748,IQT,-73.3087997436523,-3.78473997116088
67,75,PCL,2781,LIM,2789,PCL,-74.5743026733398,-8.37794017791748,LIM,-77.114304,-12.0219
68,76,PCL,2781,TPP,2806,PCL,-74.5743026733398,-8.37794017791748,TPP,-76.3731994628906,-6.5087399482727
69,77,PEM,2808,CUZ,2812,PEM,-69.2285995483,-12.6135997772,CUZ,-71.9387969971,-13.5356998444
70,78,TPP,2806,IQT,2801,TPP,-76.3731994628906,-6.5087399482727,IQT,-73.3087997436523,-3.78473997116088
71,79,TPP,2806,LIM,2789,TPP,-76.3731994628906,-6.5087399482727,LIM,-77.114304,-12.0219
72,80,TPP,2806,PCL,2781,TPP,-76.3731994628906,-6.5087399482727,PCL,-74.5743026733398,-8.37794017791748
73,81,ABJ,253,BOY,247,ABJ,-3.9262900352478,5.26139020919799,BOY,-4.33096981048584,11.1600999832153
74,82,ABJ,253,OUA,246,ABJ,-3.9262900352478,5.26139020919799,OUA,-1.51242005825042,12.3531999588012
75,83,ACC,248,OUA,246,ACC,-0.16678600013256,5.60518980026245,OUA,-1.51242005825042,12.3531999588012
76,84,BKO,1044,ABJ,253,BKO,-7.94994020462036,12.5334997177124,ABJ,-3.9262900352478,5.26139020919799
77,85,BKO,1044,DKR,1084,BKO,-7.94994020462036,12.5334997177124,DKR,-17.4902000427246,14.7397003173828
78,86,BKO,1044,OUA,246,BKO,-7.94994020462036,12.5334997177124,OUA,-1.51242005825042,12.3531999588012
79,87,BOY,247,ABJ,253,BOY,-4.33096981048584,11.1600999832153,ABJ,-3.9262900352478,5.26139020919799
80,88,BOY,247,OUA,246,BOY,-4.33096981048584,11.1600999832153,OUA,-1.51242005825042,12.3531999588012
81,89,COO,245,LFW,298,COO,2.38435006141662,6.3572301864624,LFW,1.25451004505157,6.16560983657836
82,90,COO,245,OUA,246,COO,2.38435006141662,6.3572301864624,OUA,-1.51242005825042,12.3531999588012
83,91,DKR,1084,BKO,1044,DKR,-17.4902000427246,14.7397003173828,BKO,-7.94994020462036,12.5334997177124
84,92,DKR,1084,OUA,246,DKR,-17.4902000427246,14.7397003173828,OUA,-1.51242005825042,12.3531999588012
85,93,LFW,298,OUA,246,LFW,1.25451004505157,6.16560983657836,OUA,-1.51242005825042,12.3531999588012
86,94,NIM,280,OUA,246,NIM,2.18360996246337,13.481499671936,OUA,-1.51242005825042,12.3531999588012
87,95,OUA,246,ABJ,253,OUA,-1.51242005825042,12.3531999588012,ABJ,-3.9262900352478,5.26139020919799
88,96,OUA,246,ACC,248,OUA,-1.51242005825042,12.3531999588012,ACC,-0.16678600013256,5.60518980026245
89,97,OUA,246,BKO,1044,OUA,-1.51242005825042,12.3531999588012,BKO,-7.94994020462036,12.5334997177124
90,98,OUA,246,BOY,247,OUA,-1.51242005825042,12.3531999588012,BOY,-4.33096981048584,11.1600999832153
91,99,OUA,246,COO,245,OUA,-1.51242005825042,12.3531999588012,COO,2.38435006141662,6.3572301864624
92,100,OUA,246,DKR,1084,OUA,-1.51242005825042,12.3531999588012,DKR,-17.4902000427246,14.7397003173828
93,101,OUA,246,LFW,298,OUA,-1.51242005825042,12.3531999588012,LFW,1.25451004505157,6.16560983657836
94,102,OUA,246,NIM,280,OUA,-1.51242005825042,12.3531999588012,NIM,2.18360996246337,13.481499671936
95,103,BOG,2709,GYE,2673,BOG,-74.1469,4.70159,GYE,-79.8835983276,-2.15741991996999
96,104,BOG,2709,UIO,2688,BOG,-74.1469,4.70159,UIO,-78.3575,-0.129166666667
97,105,CLO,2715,GYE,2673,CLO,-76.3816,3.54322,GYE,-79.8835983276,-2.15741991996999
98,106,GYE,2673,BOG,2709,GYE,-79.8835983276,-2.15741991996999,BOG,-74.1469,4.70159
99,107,GYE,2673,CLO,2715,GYE,-79.8835983276,-2.15741991996999,CLO,-76.3816,3.54322
100,108,GYE,2673,SCY,6045,GYE,-79.8835983276,-2.15741991996999,SCY,-89.6174011230468,-0.910206019878387
101,109,GYE,2673,UIO,2688,GYE,-79.8835983276,-2.15741991996999,UIO,-78.3575,-0.129166666667
102,110,OCC,2670,UIO,2688,OCC,-76.9868011474609,-0.462886005640029,UIO,-78.3575,-0.129166666667
103,111,SCY,6045,GYE,2673,SCY,-89.6174011230468,-0.910206019878387,GYE,-79.8835983276,-2.15741991996999
104,112,UIO,2688,BOG,2709,UIO,-78.3575,-0.129166666667,BOG,-74.1469,4.70159
105,113,UIO,2688,GYE,2673,UIO,-78.3575,-0.129166666667,GYE,-79.8835983276,-2.15741991996999
106,114,UIO,2688,OCC,2670,UIO,-78.3575,-0.129166666667,OCC,-76.9868011474609,-0.462886005640029
107,115,BDS,1506,ZRH,1678,BDS,17.947001,40.6576,ZRH,8.5491695404053,47.464698791504
108,116,BOD,1264,ZRH,1678,BOD,-0.715556025505,44.8283004761,ZRH,8.5491695404053,47.464698791504
109,117,BRS,490,ZRH,1678,BRS,-2.71909,51.382702,ZRH,8.5491695404053,47.464698791504
110,118,GVA,1665,LPA,1054,GVA,6.10895013809204,46.2380981445312,LPA,-15.3865995407104,27.931900024414
111,119,LCA,1197,ZRH,1678,LCA,33.624900817871,34.8750991821289,ZRH,8.5491695404053,47.464698791504
112,120,LPA,1054,ZRH,1678,LPA,-15.3865995407104,27.931900024414,ZRH,8.5491695404053,47.464698791504
113,121,RMF,4197,ZRH,1678,RMF,34.5836982727,25.557100296,ZRH,8.5491695404053,47.464698791504
114,122,TFS,1056,GVA,1665,TFS,-16.5725002289,28.044500351,GVA,6.10895013809204,46.2380981445312
115,123,ZRH,1678,BDS,1506,ZRH,8.5491695404053,47.464698791504,BDS,17.947001,40.6576
116,124,ZRH,1678,BOD,1264,ZRH,8.5491695404053,47.464698791504,BOD,-0.715556025505,44.8283004761
117,125,ZRH,1678,BRS,490,ZRH,8.5491695404053,47.464698791504,BRS,-2.71909,51.382702
118,126,ZRH,1678,LCA,1197,ZRH,8.5491695404053,47.464698791504,LCA,33.624900817871,34.8750991821289
119,127,ZRH,1678,LPA,1054,ZRH,8.5491695404053,47.464698791504,LPA,-15.3865995407104,27.931900024414
120,128,ZRH,1678,RMF,4197,ZRH,8.5491695404053,47.464698791504,RMF,34.5836982727,25.557100296
121,129,AJR,730,LYC,719,AJR,19.2819004058837,65.5903015136718,LYC,18.7161998748779,64.5483016967773
122,130,ARN,737,GEV,715,ARN,17.918600082397,59.651901245117,GEV,20.8145999908447,67.1324005126953
123,131,ARN,737,HAD,709,ARN,17.918600082397,59.651901245117,HAD,12.8201999664306,56.6911010742187
124,132,ARN,737,JKG,688,ARN,17.918600082397,59.651901245117,JKG,14.0686998367309,57.7575988769531
125,133,ARN,737,KRF,718,ARN,17.918600082397,59.651901245117,KRF,17.7688999176025,63.048599243164
126,134,ARN,737,KSD,5595,ARN,17.918600082397,59.651901245117,KSD,13.3374004364,59.4446983336999
127,135,ARN,737,LYC,719,ARN,17.918600082397,59.651901245117,LYC,18.7161998748779,64.5483016967773
128,136,ARN,737,MHQ,442,ARN,17.918600082397,59.651901245117,MHQ,19.898199081421,60.122200012207
129,137,ARN,737,OER,722,ARN,17.918600082397,59.651901245117,OER,18.9899997711181,63.4082984924316
130,138,ARN,737,POR,448,ARN,17.918600082397,59.651901245117,POR,21.799999237061,61.461700439453
131,139,ARN,737,TRF,664,ARN,17.918600082397,59.651901245117,TRF,10.258600235,59.1866989136
132,140,ARN,737,VBY,746,ARN,17.918600082397,59.651901245117,VBY,18.346200942993,57.662799835205
133,141,ARN,737,VHM,729,ARN,17.918600082397,59.651901245117,VHM,16.8335990905761,64.5791015625
134,142,ARN,737,VXO,711,ARN,17.918600082397,59.651901245117,VXO,14.7279996871948,56.929100036621
135,143,GEV,715,ARN,737,GEV,20.8145999908447,67.1324005126953,ARN,17.918600082397,59.651901245117
136,144,GEV,715,KRF,718,GEV,20.8145999908447,67.1324005126953,KRF,17.7688999176025,63.048599243164
137,145,HAD,709,ARN,737,HAD,12.8201999664306,56.6911010742187,ARN,17.918600082397,59.651901245117
138,146,HAD,709,JKG,688,HAD,12.8201999664306,56.6911010742187,JKG,14.0686998367309,57.7575988769531
139,147,HAD,709,VXO,711,HAD,12.8201999664306,56.6911010742187,VXO,14.7279996871948,56.929100036621
140,148,HMV,5599,VHM,729,HMV,15.082799911499,65.8060989379882,VHM,16.8335990905761,64.5791015625
141,149,JKG,688,ARN,737,JKG,14.0686998367309,57.7575988769531,ARN,17.918600082397,59.651901245117
142,150,JKG,688,HAD,709,JKG,14.0686998367309,57.7575988769531,HAD,12.8201999664306,56.6911010742187
143,151,KOK,435,POR,448,KOK,23.143100738525,63.721199035645,POR,21.799999237061,61.461700439453
144,152,KRF,718,ARN,737,KRF,17.7688999176025,63.048599243164,ARN,17.918600082397,59.651901245117
145,153,KRF,718,GEV,715,KRF,17.7688999176025,63.048599243164,GEV,20.8145999908447,67.1324005126953
146,154,KSD,5595,ARN,737,KSD,13.3374004364,59.4446983336999,ARN,17.918600082397,59.651901245117
147,155,LYC,719,AJR,730,LYC,18.7161998748779,64.5483016967773,AJR,19.2819004058837,65.5903015136718
148,156,LYC,719,ARN,737,LYC,18.7161998748779,64.5483016967773,ARN,17.918600082397,59.651901245117
149,157,MHQ,442,ARN,737,MHQ,19.898199081421,60.122200012207,ARN,17.918600082397,59.651901245117
150,158,MHQ,442,TKU,460,MHQ,19.898199081421,60.122200012207,TKU,22.262800216675,60.514099121094
151,159,OER,722,ARN,737,OER,18.9899997711181,63.4082984924316,ARN,17.918600082397,59.651901245117
152,160,OSL,644,VXO,711,OSL,11.100399971008,60.193901062012,VXO,14.7279996871948,56.929100036621
153,161,POR,448,ARN,737,POR,21.799999237061,61.461700439453,ARN,17.918600082397,59.651901245117
