,index,Source airport,Source airport ID,Destination airport,Destination airport ID,Source iata,Source long,Source lat,Dest iata,Dest long,Dest lat
13661,17890,HKG,3077,CNX,3931,HKG,113.915000916,22.3089008331,CNX,98.962600708,18.7667999267999
13313,17306,RNS,1415,BOD,1264,RNS,-1.73478996754,48.0694999694999,BOD,-0.715556025505,44.8283004761
23441,33133,FCO,1555,FUE,1051,FCO,12.2388889,41.8002778,FUE,-13.8638000488281,28.4526996612548
6441,7349,IBZ,1225,MUC,346,IBZ,1.37311995028999,38.8728981018,MUC,11.786100387573,48.353801727295
24382,35329,BBO,1122,JIB,4119,BBO,44.9411010742187,10.3892002105712,JIB,43.1595001220703,11.5473003387451
1262,1331,CGN,344,XRY,1226,CGN,7.1427397728,50.8658981323,XRY,-6.06011009216308,36.7445983886718
13372,17372,RAB,5435,HKN,5424,RAB,152.380004883,-4.34045982361,HKN,150.404998779296,-5.46217012405395
31729,54584,BSL,1423,CAG,1519,BSL,7.5291667,47.59,CAG,9.05428,39.251499
8345,9568,HEL,421,CDG,1382,HEL,24.963300704956,60.317199707031,CDG,2.54999995232,49.0127983093
7699,8830,STM,4092,BEL,2526,STM,-54.785831451416,-2.42472195625305,BEL,-48.4762992859,-1.37925004959
3425,4101,DIU,5711,PBD,3018,DIU,70.9210968017578,20.7131004333496,PBD,69.6572036742999,21.6487007141
18919,26350,CAG,1519,CRL,304,CAG,9.05428,39.251499,CRL,4.45382022858,50.4592018126999
18390,25779,JIB,4119,SAH,3980,JIB,43.1595001220703,11.5473003387451,SAH,44.2196998596191,15.4763002395629
5648,6468,PHL,3752,MKE,3717,PHL,-75.241096496582,39.871898651123,MKE,-87.8965988159179,42.9472007751464
15742,21863,SLC,3536,TWF,4263,SLC,-111.977996826171,40.7883987426757,TWF,-114.487999,42.48180008
33902,61484,HGH,3386,DAD,3196,HGH,120.43399810791,30.2294998168945,DAD,108.198997497558,16.0438995361328
6669,7648,TFS,1056,BSL,1423,TFS,-16.5725002289,28.044500351,BSL,7.5291667,47.59
28272,45543,SAW,4317,FRU,2912,SAW,29.3092002869,40.898601532,FRU,74.4776000977,43.0612983704
11217,14244,SJC,3748,BOS,3448,SJC,-121.929000854492,37.3625984191894,BOS,-71.00520325,42.36429977
34936,63957,LAS,3877,SDF,4014,LAS,-115.1520004,36.08010101,SDF,-85.736,38.1744
8313,9528,FLR,1563,LCY,503,FLR,11.2051,43.810001,LCY,0.055278,51.505299
31988,55083,LTN,492,LIS,1638,LTN,-0.368333011865615,51.874698638916,LIS,-9.13591957092,38.7812995911
23861,33990,LJG,4033,SJW,6347,LJG,100.246002197,26.6800003052,SJW,114.696998596191,38.2807006835937
4318,5090,DCA,3520,CRW,4285,DCA,-77.037697,38.8521,CRW,-81.5932006835937,38.3731002807617
11892,15384,SIN,3316,BWN,3272,SIN,103.994003,1.35019,BWN,114.928001403808,4.94420003890991
11291,14340,XMN,3383,RMQ,2268,XMN,118.12799835205,24.5440006256103,RMQ,120.621002197265,24.264699935913
19107,26544,CRL,304,VOL,1448,CRL,4.45382022858,50.4592018126999,VOL,22.7943000793457,39.2196006774902
34754,63375,YSO,7252,YHO,5502,YSO,-59.78507,54.9105,YHO,-60.2285995483398,55.4482994079589
10803,13684,SUJ,1659,OTP,1657,SUJ,22.88570022583,47.7033004760742,OTP,26.085,44.5711111
24319,35193,JOG,3898,LOP,8401,JOG,110.431999206542,-7.78817987442016,LOP,116.276675,-8.757322
4677,5464,GIG,2560,MIA,3576,GIG,-43.2505569458,-22.8099994659,MIA,-80.2906036376953,25.7931995391845
24290,35110,BTH,3903,BDO,3896,BTH,104.119003296,1.12102997303,BDO,107.575996398925,-6.90062999725341
12708,16517,KMG,3382,WNZ,6392,KMG,102.9291667,25.1019444,WNZ,120.851997375488,27.9122009277343
8630,9925,SAN,3731,ATL,3682,SAN,-117.190002441,32.7336006165,ATL,-84.4281005859375,33.6366996765136
35052,64519,TPA,3646,BNA,3690,TPA,-82.533203125,27.9755001068115,BNA,-86.6781997680664,36.1245002746582
5350,6166,NAN,1960,LAX,3484,NAN,177.442993164062,-17.7553997039794,LAX,-118.4079971,33.94250107
12530,16289,DYG,6353,PEK,3364,DYG,110.443001,29.1028,PEK,116.584999084472,40.0801010131835
9463,11233,SLW,1810,MEX,1824,SLW,-100.929000854492,25.5494995117187,MEX,-99.072098,19.4363
15011,20493,CVG,3488,IAH,3550,CVG,-84.6678009033,39.0488014221,IAH,-95.3414001464843,29.9843997955322
26448,40045,BEY,2177,ACC,248,BEY,35.4883995056152,33.8208999633789,ACC,-0.16678600013256,5.60518980026245
4394,5167,DFW,3670,AUS,3673,DFW,-97.0380020141601,32.896800994873,AUS,-97.6698989868164,30.1944999694824
27580,43897,BNE,3320,DUD,2011,BNE,153.117004394531,-27.384199142456,DUD,170.197998046875,-45.9281005859375
4098,4869,CHC,2009,SYD,3361,CHC,172.531997680664,-43.4893989562988,SYD,151.177001953125,-33.9460983276367
12750,16579,LYI,6385,CAN,3370,LYI,118.412002563476,35.046100616455,CAN,113.299003601074,23.3924007415771
21154,28909,BLI,3777,LAX,3484,BLI,-122.53800201416,48.7928009033203,LAX,-118.4079971,33.94250107
19753,27247,MAD,1229,STN,548,MAD,-3.56264,40.471926,STN,0.234999999404,51.8849983215
25013,37134,NAY,6341,NDG,6413,NAY,116.388000488281,39.7827987670898,NDG,123.917999267578,47.2396011352539
7870,9010,ANR,299,LCY,503,ANR,4.46027994156,51.1893997192,LCY,0.055278,51.505299
30382,51287,COK,3136,RUH,2082,COK,76.4019012451,10.1520004272,RUH,46.6987991333007,24.9575996398925
12031,15577,SVG,666,GOT,687,SVG,5.6377801895,58.876701354,GOT,12.279800415039,57.662799835205
10575,13260,EVN,3964,FCO,1555,EVN,44.3959007263,40.1473007202,FCO,12.2388889,41.8002778
17890,24920,BHM,3811,LAS,3877,BHM,-86.75350189,33.56290054,LAS,-115.1520004,36.08010101
701,747,HGH,3386,CTU,3395,HGH,120.43399810791,30.2294998168945,CTU,103.946998596191,30.5785007476806
32519,56260,DUJ,5734,CLE,3486,DUJ,-78.8986969,41.17829895,CLE,-81.8498001099,41.4117012024
25619,38560,MUC,346,BIO,1216,MUC,11.786100387573,48.353801727295,BIO,-2.91060996055603,43.3011016845703
9679,11512,TUC,2460,AEP,2442,TUC,-65.104897,-26.8409,AEP,-58.4156,-34.5592
