iata,long,lat,airport
SHJ,55.5172,25.3286,Sharjah International Airport
AZI,54.4581,24.4283,Al Bateen Executive Airport
XSB,52.5803,24.2836,Sir Bani Yas Airport
DWC,55.1614,24.8964,Al Maktoum International Airport
DXB,55.3644,25.2528,Dubai International Airport
AUH,54.6511,24.433,Abu Dhabi International Airport
KDH,65.8478,31.5058,Kandahar International Airport
MZR,67.2097,36.7069,Mazar-e Sharif International Airport
KBL,69.2131,34.5658,Kabul International Airport
ANU,-61.7927,17.1367,V. C. Bird International Airport
LWN,43.8593,40.7504,Gyumri Shirak Airport
EVN,44.3959,40.1473,Zvartnots International Airport
LAD,13.2312,-8.85837,Quatro de Fevereiro Airport
EZE,-58.5358,-34.8222,Ministro Pistarini International Airport
LNZ,14.1875,48.2332,Linz Airport (Blue Danube Airport)
SZG,13.0043,47.7933,Salzburg Airport
GRZ,15.4396,46.9911,Graz Airport
INN,11.344,47.2602,Innsbruck Airport (Kranebitten Airport)
VIE,16.5697,48.1103,Vienna International Airport
ADL,138.531,-34.945,Adelaide Airport
PER,115.967,-31.9403,Perth Airport
BNE,153.117,-27.3842,Brisbane Airport
MEL,144.843,-37.6733,Melbourne Airport
SYD,151.177,-33.9461,Sydney Airport (Kingsford Smith Airport)
AUA,-70.0152,12.5014,Queen Beatrix International Airport
LLK,48.818,38.7464,Lankaran International Airport
GBB,47.7125,40.8267,Qabala International Airport
KVD,46.3176,40.7377,Ganja International Airport
NAJ,45.4584,39.1888,Nakhchivan International Airport
GYD,50.0467,40.4675,Heydar Aliyev International Airport
SJJ,18.3315,43.8246,Sarajevo International Airport
BGI,-59.4925,13.0746,Grantley Adams International Airport
ZYL,91.8668,24.9632,Osmani International Airport
CGP,91.8133,22.2496,Shah Amanat International Airport
DAC,90.3978,23.8433,Hazrat Shahjalal International Airport
BRU,4.48444,50.9014,Brussels Airport (Zaventem Airport)
CRL,4.45382,50.4592,Brussels South Charleroi Airport
OUA,-1.51242,12.3532,Ouagadougou Airport
BOJ,27.5152,42.5696,Burgas Airport
VAR,27.8251,43.2321,Varna Airport
PDV,24.8508,42.0678,Plovdiv Airport
SOF,23.4114,42.6967,Sofia Airport
BAH,50.6336,26.2708,Bahrain International Airport
COO,2.38435,6.35723,Cadjehoun Airport
BDA,-64.6787,32.364,L.F. Wade International Airport
BWN,114.928,4.9442,Brunei International Airport
VVI,-63.1354,-17.6448,Viru Viru International Airport
BON,-68.2685,12.131,Flamingo International Airport
BSB,-47.9208,-15.8692,Brasilia International Airport (Presidente J. Kubitschek Int'l Airport)
SSA,-38.3225,-12.9086,Deputado Luis Eduardo Magalhaes International Airport
REC,-34.9236,-8.12649,Recife/Guararapes-Gilberto Freyre International Airport
NAS,-77.4662,25.039,Lynden Pindling International Airport
FPO,-78.6956,26.5587,Grand Bahama International Airport
GGT,-75.878,23.5626,Exuma International Airport
MSQ,28.0307,53.8825,Minsk National Airport
BZE,-88.3082,17.5391,Philip S. W. Goldson International Airport
YHZ,-63.5086,44.8808,Halifax Stanfield International Airport
YYT,-52.7519,47.6186,St. John's International Airport
YYC,-114.02,51.1139,Calgary International Airport
YXU,-81.1539,43.0356,London International Airport
YXE,-106.7,52.1708,Saskatoon John G. Diefenbaker International Airport
YWG,-97.2399,49.91,Winnipeg James Armstrong Richardson International Airport
YVR,-123.184,49.1939,Vancouver International Airport
YQR,-104.666,50.4319,Regina International Airport
YQM,-64.6786,46.1122,Greater Moncton International Airport
YQB,-71.3933,46.7911,Quebec City Jean Lesage International Airport
YOW,-75.6692,45.3225,Ottawa Macdonald-Cartier International Airport
YYZ,-79.6227,43.6797,Toronto Pearson International Airport
YTZ,-79.396,43.6285,Billy Bishop Toronto City Airport
YKF,-80.3858,43.4558,Region of Waterloo International Airport
YUL,-73.7455,45.4657,Montréal-Pierre Elliott Trudeau International Airport
YMM,-111.222,56.6533,Fort McMurray International Airport
FIH,15.4446,-4.38575,N'djili Airport
BGF,18.5188,4.39848,Bangui M'Poko International Airport
BZV,15.253,-4.2517,Maya-Maya Airport
PNR,11.8866,-4.81603,Pointe Noire Airport
ZRH,8.54917,47.4647,Zurich Airport
GVA,6.10895,46.2381,Geneva Airport
BRN,7.49715,46.9141,Bern Airport
ABJ,-3.92629,5.26139,Port Bouet Airport (Felix Houphouet Boigny Int'l)
